,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,量産前,,,,,,量産後,,,,,,,,,,,,,,,,,
,シリーズ名,◯◯コラボ,,,商品企画課 記入,,,,,試作課,製造部,企画課,生産管理課,,修正,,,,,,,,,,,,,,,,,
,商品名,◯◯トートバッグ小,,,製造部 記入,,,,作成者,◯◯,,◯◯,,進藤,,,,,,,,,,,,,,,,,,
,色,,,,試作課 記入,,,,作成日,2026/2/11,,2026/2/13,,2026/3/17,,,,,,,,,,,,,,,,,,
,品番,,,,製造部・生産管理課　記入,,,,確認者,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,確認日,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,原厚指定±0.2はブレの範囲,,,,裁断後厚より0.3以下,,,,,,,,,,,,
,,,型番,抜型名,革名,革仕入先,リードタイム,単価,正味数量（枚）,使用数,実用尺,"ロス率
（%）",ロス込み数量,金額,元厚,原厚,目の指定,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 0 ,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,,,,, 180 ,,,,,,,,,,,,,,,,,,
,副資材,,,あんこ(純白ﾛｰﾙ),,,,9.5,,2,,100%,, 19 ,,,,,,,,,,,,,,,,,,
,,,,＊PKG・梱包資材は先方支給,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,,,,.0個, 19 ,,,,,,,,,,,,,,,,,,
,材料費  ,,,,,,,,,,,,," 6,114 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,内容,外注先,,,単価,,,,数量,,労務費,,,,,,,,,,,,,,,,,,
,外注加工費,,,検針,桑原,,,¥100,,,, 1 ,, 100 ,,,,,,,,,,,,,,,,,,
,,,,平紐,ハシモト産業,,,¥100,,,, 2 ,, 200 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, 0 ,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, 0 ,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, 0 ,, 0 ,,,,,,,,,,,,,,,,,,
